epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4067,1.05692,3.11953,1.35933,0.01229,0.88547,0.1711,0.10645,1.1367,3.34682,1.46872,0.00029997,0.00029997,0.00029997
2,21.2616,1.15018,2.53393,1.46391,0.29759,0.3466,0.21632,0.1234,1.47376,2.80242,1.91371,0.000605001,0.000605001,0.000605001
3,30.64,1.17045,2.4127,1.47128,0.33229,0.3296,0.27428,0.14364,1.60292,2.76485,2.12066,0.000903872,0.000903872,0.000903872
4,41.0014,1.24095,2.25179,1.48423,0.25783,0.38259,0.29649,0.17828,1.49281,2.52987,1.89799,0.001078,0.001078,0.001078
5,50.8842,1.22615,2.21153,1.47976,0.30306,0.30422,0.23878,0.133,1.57042,2.55043,2.0089,0.001067,0.001067,0.001067
6,59.2432,1.23364,2.17488,1.49154,0.18499,0.3432,0.21972,0.10516,1.6318,2.50275,2.00286,0.00105601,0.00105601,0.00105601
7,69.6325,1.2048,2.11851,1.47087,0.2857,0.38998,0.29692,0.16782,1.63255,3.07497,2.1021,0.00104501,0.00104501,0.00104501
8,79.2376,1.23058,2.10897,1.49165,0.42864,0.21608,0.21347,0.12552,1.64734,2.8761,2.03425,0.00103401,0.00103401,0.00103401
9,88.1015,1.23283,2.0658,1.48434,0.49018,0.31309,0.27128,0.14951,1.61903,2.52961,2.02406,0.00102301,0.00102301,0.00102301
10,97.3249,1.20837,1.97839,1.45514,0.50757,0.25636,0.32055,0.20796,1.46424,2.52783,1.82027,0.00101201,0.00101201,0.00101201
11,106.836,1.17739,1.92869,1.45259,0.30084,0.40704,0.33795,0.17948,1.67773,2.26532,2.05357,0.00100101,0.00100101,0.00100101
12,115.957,1.16673,1.88965,1.44661,0.29387,0.3707,0.36681,0.21209,1.59519,2.18498,1.97055,0.000990012,0.000990012,0.000990012
13,124.791,1.1903,1.87425,1.45311,0.48914,0.38932,0.33881,0.19548,1.56369,2.38429,2.01791,0.000979013,0.000979013,0.000979013
14,134.002,1.13499,1.85911,1.42844,0.52409,0.25728,0.34366,0.19712,1.47895,2.45272,1.87994,0.000968014,0.000968014,0.000968014
15,143.608,1.10711,1.74009,1.40639,0.50323,0.34141,0.36285,0.21122,1.66815,2.19887,2.0101,0.000957015,0.000957015,0.000957015
16,151.881,1.10801,1.70373,1.37569,0.4137,0.39671,0.38951,0.22182,1.47284,2.17827,1.82687,0.000946016,0.000946016,0.000946016
17,161.075,1.10587,1.69482,1.3893,0.54885,0.44459,0.48134,0.29743,1.457,2.1017,1.86973,0.000935018,0.000935018,0.000935018
18,170.458,1.12859,1.65281,1.42401,0.44578,0.43004,0.43333,0.27297,1.32779,1.99195,1.67818,0.000924019,0.000924019,0.000924019
